5701,普通,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,05:20,05:25,05:28,05:31,05:34,05:37
5235,普通,09:05,09:08,09:10,09:13,09:16,09:19,09:21,09:25,09:28,09:32,09:34,09:37,09:40,09:42,・・,・・,・・,・・,・・,・・
4015,区快,09:13,09:15,09:18,09:21,09:24,↓,↓,09:30,09:33,09:36,↓,09:40,09:43,↓,09:49,09:53,09:57,10:00,10:03,10:06
5237,普通,09:15,09:18,09:20,09:23,09:26,09:29,09:31,09:35,09:38,09:41,09:44,09:46,09:49,09:52,・・,・・,・・,・・,・・,・・
5017,普通,09:20,09:23,09:26,09:29,09:31,09:34,09:36,09:40,09:43,09:46,09:49,09:51,09:54,09:57,10:05,10:11,10:14,10:17,10:21,10:23
5239,普通,09:26,09:29,09:31,09:34,09:37,09:40,09:42,09:49,09:52,09:55,09:58,10:00,10:03,10:06,・・,・・,・・,・・,・・,・・
3015,快速,09:30,09:33,09:36,09:39,09:42,↓,↓,↓,↓,09:52,↓,09:56,↓,↓,10:04,↓,↓,↓,↓,10:15
5241,普通,09:36,09:39,09:42,09:45,09:47,09:50,09:52,09:56,09:59,10:02,10:05,10:07,10:10,10:13,・・,・・,・・,・・,・・,・・
4017,区快,09:43,09:46,09:49,09:52,09:54,↓,↓,10:01,10:04,10:07,↓,10:11,10:14,↓,10:20,10:24,10:28,10:31,10:34,10:36
5019,普通,09:48,09:51,09:53,09:56,09:59,10:02,10:04,10:08,10:11,10:14,10:17,10:19,10:22,10:25,10:35,10:41,10:44,10:47,10:50,10:53
5243,普通,09:54,09:57,10:00,10:03,10:06,10:09,10:11,10:18,10:21,10:24,10:27,10:29,10:32,10:35,・・,・・,・・,・・,・・,・・
3017,快速,10:00,10:02,10:05,10:08,10:11,↓,↓,↓,↓,10:21,↓,10:25,↓,↓,10:33,↓,↓,↓,↓,10:45
5243,普通,09:54,09:57,10:00,10:03,10:06,10:09,10:11,10:18,10:21,10:24,10:27,10:29,10:32,10:35,・・,・・,・・,・・,・・,・・
3017,快速,10:00,10:02,10:05,10:08,10:11,↓,↓,↓,↓,10:21,↓,10:25,↓,↓,10:33,↓,↓,↓,↓,10:45
5245,普通,10:06,10:09,10:12,10:15,10:17,10:20,10:22,10:26,10:29,10:32,10:35,10:37,10:40,10:43,・・,・・,・・,・・,・・,・・
4019,区快,10:13,10:16,10:19,10:22,10:24,↓,↓,10:31,10:34,10:37,↓,10:41,10:44,↓,10:50,10:54,10:58,11:01,11:04,11:06
5021,普通,10:18,10:21,10:23,10:26,10:29,10:32,10:34,10:38,10:41,10:44,10:47,10:49,10:52,10:55,11:05,11:11,11:14,11:17,11:20,11:23
5247,普通,10:24,10:27,10:30,10:33,10:36,10:39,10:41,10:48,10:51,10:54,10:57,10:59,11:02,11:05,・・,・・,・・,・・,・・,・・
3019,快速,10:30,10:32,10:35,10:38,10:41,↓,↓,↓,↓,10:51,↓,10:55,↓,↓,11:03,↓,↓,↓,↓,11:15
5249,普通,10:36,10:39,10:42,10:45,10:47,10:50,10:52,10:56,10:59,11:02,11:05,11:07,11:10,11:13,・・,・・,・・,・・,・・,・・
4021,区快,10:43,10:46,10:49,10:52,10:54,↓,↓,11:01,11:04,11:07,↓,11:11,11:14,↓,11:20,11:24,11:28,11:31,11:34,11:36
5023,普通,10:48,10:51,10:53,10:56,10:59,11:02,11:04,11:08,11:11,11:14,11:17,11:19,11:22,11:25,11:35,11:41,11:44,11:47,11:50,11:53
5251,普通,10:54,10:57,11:00,11:03,11:06,11:09,11:11,11:18,11:21,11:24,11:27,11:29,11:32,11:35,・・,・・,・・,・・,・・,・・
3021,快速,11:00,11:02,11:05,11:08,11:11,↓,↓,↓,↓,11:21,↓,11:25,↓,↓,11:33,↓,↓,↓,↓,11:45
5253,普通,11:06,11:09,11:12,11:15,11:17,11:20,11:22,11:26,11:29,11:32,11:35,11:37,11:40,11:43,・・,・・,・・,・・,・・,・・
4023,区快,11:13,11:16,11:19,11:22,11:24,↓,↓,11:31,11:34,11:37,↓,11:41,11:44,↓,11:50,11:54,11:58,12:01,12:04,12:06
5025,普通,11:18,11:21,11:23,11:26,11:29,11:32,11:34,11:38,11:41,11:44,11:47,11:49,11:52,11:55,12:05,12:11,12:14,12:17,12:20,12:23
5255,普通,11:24,11:27,11:30,11:33,11:36,11:39,11:41,11:48,11:51,11:54,11:57,11:59,12:02,12:05,・・,・・,・・,・・,・・,・・
3023,快速,11:30,11:32,11:35,11:38,11:41,↓,↓,↓,↓,11:51,↓,11:55,↓,↓,12:03,↓,↓,↓,↓,12:15
5257,普通,11:36,11:39,11:42,11:45,11:47,11:50,11:52,11:56,11:59,12:02,12:05,12:07,12:10,12:13,・・,・・,・・,・・,・・,・・
4025,区快,11:43,11:46,11:49,11:52,11:54,↓,↓,12:01,12:04,12:07,↓,12:11,12:14,↓,12:20,12:24,12:28,12:31,12:34,12:36
5027,普通,11:48,11:51,11:53,11:56,11:59,12:02,12:04,12:08,12:11,12:14,12:17,12:19,12:22,12:25,12:35,12:41,12:44,12:47,12:50,12:53
5259,普通,11:54,11:57,12:00,12:03,12:06,12:09,12:11,12:18,12:21,12:24,12:27,12:29,12:32,12:35,・・,・・,・・,・・,・・,・・
3025,快速,12:00,12:02,12:05,12:08,12:11,↓,↓,↓,↓,12:21,↓,12:25,↓,↓,12:33,↓,↓,↓,↓,12:45
5261,普通,12:06,12:09,12:12,12:15,12:17,12:20,12:22,12:26,12:29,12:32,12:35,12:37,12:40,12:43,・・,・・,・・,・・,・・,・・
4027,区快,12:13,12:16,12:19,12:22,12:24,↓,↓,12:31,12:34,12:37,↓,12:41,12:44,↓,12:50,12:54,12:58,13:01,13:04,13:06
5029,普通,12:18,12:21,12:23,12:26,12:29,12:32,12:34,12:38,12:41,12:44,12:47,12:49,12:52,12:55,13:05,13:11,13:14,13:17,13:20,13:23
5263,普通,12:24,12:27,12:30,12:33,12:36,12:39,12:41,12:48,12:51,12:54,12:57,12:59,13:02,13:05,・・,・・,・・,・・,・・,・・
3027,快速,12:30,12:32,12:35,12:38,12:41,↓,↓,↓,↓,12:51,↓,12:55,↓,↓,13:03,↓,↓,↓,↓,13:15
5265,普通,12:36,12:39,12:42,12:45,12:47,12:50,12:52,12:56,12:59,13:02,13:05,13:07,13:10,13:13,・・,・・,・・,・・,・・,・・
3027,快速,12:30,12:32,12:35,12:38,12:41,↓,↓,↓,↓,12:51,↓,12:55,↓,↓,13:03,↓,↓,↓,↓,13:15
5265,普通,12:36,12:39,12:42,12:45,12:47,12:50,12:52,12:56,12:59,13:02,13:05,13:07,13:10,13:13,・・,・・,・・,・・,・・,・・
4029,区快,12:43,12:46,12:49,12:52,12:54,↓,↓,13:01,13:04,13:07,↓,13:11,13:14,↓,13:20,13:24,13:28,13:31,13:34,13:36
5031,普通,12:48,12:51,12:53,12:56,12:59,13:02,13:04,13:08,13:11,13:14,13:17,13:19,13:22,13:25,13:35,13:41,13:44,13:47,13:50,13:53
5267,普通,12:54,12:57,13:00,13:03,13:06,13:09,13:11,13:18,13:21,13:24,13:27,13:29,13:32,13:35,・・,・・,・・,・・,・・,・・
3029,快速,13:00,13:02,13:05,13:08,13:11,↓,↓,↓,↓,13:21,↓,13:25,↓,↓,13:33,↓,↓,↓,↓,13:45
5269,普通,13:06,13:09,13:12,13:15,13:17,13:20,13:22,13:26,13:29,13:32,13:35,13:37,13:40,13:43,・・,・・,・・,・・,・・,・・
4031,区快,13:13,13:16,13:19,13:22,13:24,↓,↓,13:31,13:34,13:37,↓,13:41,13:44,↓,13:50,13:54,13:58,14:01,14:04,14:06
5033,普通,13:18,13:21,13:23,13:26,13:29,13:32,13:34,13:38,13:41,13:44,13:47,13:49,13:52,13:55,14:05,14:11,14:14,14:17,14:20,14:23
5271,普通,13:24,13:27,13:30,13:33,13:36,13:39,13:41,13:48,13:51,13:54,13:57,13:59,14:02,14:05,・・,・・,・・,・・,・・,・・
3031,快速,13:30,13:32,13:35,13:38,13:41,↓,↓,↓,↓,13:51,↓,13:55,↓,↓,14:03,↓,↓,↓,↓,14:15
5273,普通,13:36,13:39,13:42,13:45,13:47,13:50,13:52,13:56,13:59,14:02,14:05,14:07,14:10,14:13,・・,・・,・・,・・,・・,・・
4033,区快,13:43,13:46,13:49,13:52,13:54,↓,↓,14:01,14:04,14:07,↓,14:11,14:14,↓,14:20,14:24,14:28,14:31,14:34,14:36
5035,普通,13:48,13:51,13:53,13:56,13:59,14:02,14:04,14:08,14:11,14:14,14:17,14:19,14:22,14:25,14:35,14:41,14:44,14:47,14:50,14:53
5275,普通,13:54,13:57,14:00,14:03,14:06,14:09,14:11,14:18,14:21,14:24,14:27,14:29,14:32,14:35,・・,・・,・・,・・,・・,・・
3033,快速,14:00,14:02,14:05,14:08,14:11,↓,↓,↓,↓,14:21,↓,14:25,↓,↓,14:33,↓,↓,↓,↓,14:45
5277,普通,14:06,14:09,14:12,14:15,14:17,14:20,14:22,14:26,14:29,14:32,14:35,14:37,14:40,14:43,・・,・・,・・,・・,・・,・・
4035,区快,14:13,14:16,14:19,14:22,14:24,↓,↓,14:31,14:34,14:37,↓,14:41,14:44,↓,14:50,14:54,14:58,15:01,15:04,15:06
5037,普通,14:18,14:21,14:23,14:26,14:29,14:32,14:34,14:38,14:41,14:44,14:47,14:49,14:52,14:55,15:05,15:11,15:14,15:17,15:20,15:23
5279,普通,14:24,14:27,14:30,14:33,14:36,14:39,14:41,14:48,14:51,14:54,14:57,14:59,15:02,15:05,・・,・・,・・,・・,・・,・・
3035,快速,14:30,14:32,14:35,14:38,14:41,↓,↓,↓,↓,14:51,↓,14:55,↓,↓,15:03,↓,↓,↓,↓,15:15
5281,普通,14:36,14:39,14:42,14:45,14:47,14:50,14:52,14:56,14:59,15:02,15:05,15:07,15:10,15:13,・・,・・,・・,・・,・・,・・
4037,区快,14:43,14:46,14:49,14:52,14:54,↓,↓,15:01,15:04,15:07,↓,15:11,15:14,↓,15:20,15:24,15:28,15:31,15:34,15:36
5039,普通,14:48,14:51,14:53,14:56,14:59,15:02,15:04,15:08,15:11,15:14,15:17,15:19,15:22,15:25,15:35,15:41,15:44,15:47,15:50,15:53
5283,普通,14:54,14:57,15:00,15:03,15:06,15:09,15:11,15:18,15:21,15:24,15:27,15:29,15:32,15:35,・・,・・,・・,・・,・・,・・
3037,快速,15:00,15:02,15:05,15:08,15:11,↓,↓,↓,↓,15:21,↓,15:25,↓,↓,15:33,↓,↓,↓,↓,15:45
5285,普通,15:06,15:09,15:12,15:15,15:17,15:20,15:22,15:26,15:29,15:32,15:35,15:37,15:40,15:43,・・,・・,・・,・・,・・,・・
4039,区快,15:13,15:16,15:19,15:22,15:24,↓,↓,15:31,15:34,15:37,↓,15:41,15:44,↓,15:50,15:54,15:58,16:01,16:04,16:06
5285,普通,15:06,15:09,15:12,15:15,15:17,15:20,15:22,15:26,15:29,15:32,15:35,15:37,15:40,15:43,・・,・・,・・,・・,・・,・・
4039,区快,15:13,15:16,15:19,15:22,15:24,↓,↓,15:31,15:34,15:37,↓,15:41,15:44,↓,15:50,15:54,15:58,16:01,16:04,16:06
5041,普通,15:18,15:21,15:23,15:26,15:29,15:32,15:34,15:38,15:41,15:44,15:47,15:49,15:52,15:55,16:05,16:11,16:14,16:17,16:20,16:23
5287,普通,15:24,15:27,15:30,15:33,15:36,15:39,15:41,15:48,15:51,15:54,15:57,15:59,16:02,16:05,・・,・・,・・,・・,・・,・・
3039,快速,15:30,15:32,15:35,15:38,15:41,↓,↓,↓,↓,15:51,↓,15:55,↓,↓,16:03,↓,↓,↓,↓,16:15
5289,普通,15:36,15:39,15:42,15:45,15:47,15:50,15:52,15:56,15:59,16:02,16:05,16:07,16:10,16:13,・・,・・,・・,・・,・・,・・
4041,区快,15:43,15:46,15:49,15:52,15:54,↓,↓,16:01,16:04,16:07,↓,16:11,16:14,↓,16:20,16:24,16:28,16:31,16:34,16:36
5043,普通,15:48,15:51,15:53,15:56,15:59,16:02,16:04,16:08,16:11,16:14,16:17,16:19,16:22,16:25,16:35,16:41,16:44,16:47,16:50,16:53
5291,普通,15:54,15:57,16:00,16:03,16:06,16:09,16:11,16:18,16:21,16:24,16:27,16:29,16:32,16:35,・・,・・,・・,・・,・・,・・
3041,快速,16:00,16:02,16:05,16:08,16:11,↓,↓,↓,↓,16:21,↓,16:25,↓,↓,16:33,↓,↓,↓,↓,16:45
5293,普通,16:06,16:09,16:12,16:15,16:17,16:20,16:22,16:26,16:29,16:32,16:35,16:37,16:40,16:43,・・,・・,・・,・・,・・,・・
4043,区快,16:13,16:16,16:19,16:22,16:24,↓,↓,16:31,16:34,16:37,↓,16:41,16:44,↓,16:50,16:54,16:58,17:01,17:04,17:06
5045,普通,16:18,16:21,16:23,16:26,16:29,16:32,16:34,16:38,16:41,16:44,16:47,16:49,16:52,16:55,17:05,17:11,17:14,17:17,17:20,17:23
5295,普通,16:24,16:27,16:30,16:33,16:36,16:39,16:41,16:48,16:51,16:54,16:57,16:59,17:02,17:05,・・,・・,・・,・・,・・,・・
3043,快速,16:30,16:32,16:35,16:38,16:41,↓,↓,↓,↓,16:51,↓,16:55,↓,↓,17:03,↓,↓,↓,↓,17:15
5297,普通,16:36,16:39,16:42,16:45,16:47,16:50,16:52,16:56,16:59,17:02,17:05,17:07,17:10,17:13,・・,・・,・・,・・,・・,・・
4045,区快,16:43,16:46,16:49,16:52,16:54,↓,↓,17:01,17:04,17:07,↓,17:11,17:14,↓,17:20,17:24,17:28,17:31,17:34,17:36
5047,普通,16:48,16:51,16:53,16:56,16:59,17:02,17:04,17:08,17:11,17:14,17:17,17:19,17:22,17:25,17:35,17:41,17:44,17:47,17:50,17:53
5299,普通,16:54,16:57,17:00,17:03,17:06,17:09,17:11,17:18,17:21,17:24,17:27,17:29,17:32,17:35,・・,・・,・・,・・,・・,・・
3045,快速,17:00,17:02,17:05,17:08,17:11,↓,↓,↓,↓,17:21,↓,17:25,↓,↓,17:33,↓,↓,↓,↓,17:45
5301,普通,17:06,17:09,17:12,17:15,17:17,17:20,17:22,17:26,17:29,17:32,17:35,17:37,17:40,17:43,・・,・・,・・,・・,・・,・・
4047,区快,17:13,17:16,17:19,17:22,17:24,↓,↓,17:31,17:34,17:37,↓,17:41,17:44,↓,17:50,17:54,17:58,18:01,18:04,18:06
5049,普通,17:18,17:21,17:23,17:26,17:29,17:32,17:34,17:38,17:41,17:44,17:47,17:49,17:52,17:55,18:05,18:11,18:14,18:17,18:20,18:23
5303,普通,17:24,17:27,17:30,17:33,17:36,17:39,17:41,17:48,17:51,17:54,17:57,17:59,18:02,18:05,・・,・・,・・,・・,・・,・・
3047,快速,17:30,17:32,17:35,17:38,17:41,↓,↓,↓,↓,17:51,↓,17:55,↓,↓,18:03,↓,↓,↓,↓,18:15
5305,普通,17:36,17:39,17:42,17:45,17:47,17:50,17:52,17:56,17:59,18:02,18:05,18:07,18:10,18:13,・・,・・,・・,・・,・・,・・
4049,区快,17:43,17:46,17:49,17:52,17:54,↓,↓,18:01,18:04,18:07,↓,18:11,18:14,↓,18:20,18:24,18:28,18:31,18:34,18:36
5051,普通,17:48,17:51,17:53,17:56,17:59,18:02,18:04,18:08,18:11,18:14,18:17,18:19,18:22,18:25,18:35,18:41,18:44,18:47,18:50,18:53
4049,区快,17:43,17:46,17:49,17:52,17:54,↓,↓,18:01,18:04,18:07,↓,18:11,18:14,↓,18:20,18:24,18:28,18:31,18:34,18:36
5051,普通,17:48,17:51,17:53,17:56,17:59,18:02,18:04,18:08,18:11,18:14,18:17,18:19,18:22,18:25,18:35,18:41,18:44,18:47,18:50,18:53
5307,普通,17:54,17:57,18:00,18:03,18:06,18:09,18:11,18:18,18:21,18:24,18:27,18:29,18:32,18:35,・・,・・,・・,・・,・・,・・
3049,快速,18:00,18:02,18:05,18:08,18:11,↓,↓,↓,↓,18:21,↓,18:25,↓,↓,18:33,↓,↓,↓,↓,18:45
5309,普通,18:06,18:09,18:12,18:15,18:17,18:20,18:22,18:26,18:29,18:32,18:35,18:37,18:40,18:43,・・,・・,・・,・・,・・,・・
4051,区快,18:13,18:16,18:19,18:22,18:24,↓,↓,18:31,18:34,18:37,↓,18:41,18:44,↓,18:50,18:54,18:58,19:01,19:04,19:06
5053,普通,18:18,18:21,18:23,18:26,18:29,18:32,18:34,18:38,18:41,18:44,18:47,18:49,18:52,18:55,19:05,19:11,19:14,19:17,19:20,19:23
5311,普通,18:24,18:27,18:30,18:33,18:36,18:39,18:41,18:48,18:51,18:54,18:57,18:59,19:02,19:05,・・,・・,・・,・・,・・,・・
3051,快速,18:30,18:32,18:35,18:38,18:41,↓,↓,↓,↓,18:51,↓,18:55,↓,↓,19:03,↓,↓,↓,↓,19:15
5313,普通,18:36,18:39,18:42,18:45,18:47,18:50,18:52,18:56,18:59,19:02,19:05,19:07,19:10,19:13,・・,・・,・・,・・,・・,・・
4053,区快,18:43,18:46,18:49,18:52,18:54,↓,↓,19:01,19:04,19:07,↓,19:11,19:14,↓,19:20,19:24,19:28,19:31,19:34,19:36
5055,普通,18:48,18:51,18:53,18:56,18:59,19:02,19:04,19:08,19:11,19:14,19:17,19:19,19:22,19:25,19:35,19:41,19:44,19:47,19:50,19:53
5315,普通,18:54,18:57,19:00,19:03,19:06,19:09,19:11,19:18,19:21,19:24,19:27,19:29,19:32,19:35,・・,・・,・・,・・,・・,・・
3053,快速,19:00,19:02,19:05,19:08,19:11,↓,↓,↓,↓,19:21,↓,19:25,↓,↓,19:33,↓,↓,↓,↓,19:45
5317,普通,19:06,19:09,19:12,19:15,19:17,19:20,19:22,19:26,19:29,19:32,19:35,19:37,19:40,19:43,・・,・・,・・,・・,・・,・・
4055,区快,19:13,19:16,19:19,19:22,19:24,↓,↓,19:31,19:34,19:37,↓,19:41,19:44,↓,19:50,19:54,19:58,20:01,20:04,20:06
5057,普通,19:18,19:21,19:23,19:26,19:29,19:32,19:34,19:38,19:41,19:44,19:47,19:49,19:52,19:55,20:05,20:11,20:14,20:17,20:20,20:23
5319,普通,19:24,19:27,19:30,19:33,19:36,19:39,19:41,19:48,19:51,19:54,19:57,19:59,20:02,20:05,・・,・・,・・,・・,・・,・・
3055,快速,19:30,19:32,19:35,19:38,19:41,↓,↓,↓,↓,19:51,↓,19:55,↓,↓,20:03,↓,↓,↓,↓,20:15
5321,普通,19:36,19:39,19:42,19:45,19:47,19:50,19:52,19:56,19:59,20:02,20:05,20:07,20:10,20:13,・・,・・,・・,・・,・・,・・
4057,区快,19:43,19:46,19:49,19:52,19:54,↓,↓,20:01,20:04,20:07,↓,20:11,20:14,↓,20:20,20:24,20:28,20:31,20:34,20:36
5059,普通,19:48,19:51,19:53,19:56,19:59,20:02,20:04,20:08,20:11,20:14,20:17,20:19,20:22,20:25,20:35,20:41,20:44,20:47,20:50,20:53
5323,普通,19:54,19:57,20:00,20:03,20:06,20:09,20:11,20:18,20:21,20:24,20:27,20:29,20:32,20:35,・・,・・,・・,・・,・・,・・
3057,快速,20:00,20:02,20:05,20:08,20:11,↓,↓,↓,↓,20:21,↓,20:25,↓,↓,20:33,↓,↓,↓,↓,20:45
5325,普通,20:06,20:09,20:12,20:15,20:17,20:20,20:22,20:26,20:29,20:32,20:35,20:37,20:40,20:43,・・,・・,・・,・・,・・,・・
4059,区快,20:13,20:16,20:19,20:22,20:24,↓,↓,20:31,20:34,20:37,↓,20:41,20:44,↓,20:50,20:54,20:58,21:01,21:04,21:06
5061,普通,20:18,20:21,20:23,20:26,20:29,20:32,20:34,20:38,20:41,20:44,20:47,20:49,20:52,20:55,21:05,21:11,21:14,21:17,21:20,21:23
5327,普通,20:24,20:27,20:30,20:33,20:36,20:39,20:41,20:48,20:51,20:54,20:57,20:59,21:02,21:05,・・,・・,・・,・・,・・,・・
5061,普通,20:18,20:21,20:23,20:26,20:29,20:32,20:34,20:38,20:41,20:44,20:47,20:49,20:52,20:55,21:05,21:11,21:14,21:17,21:20,21:23
5327,普通,20:24,20:27,20:30,20:33,20:36,20:39,20:41,20:48,20:51,20:54,20:57,20:59,21:02,21:05,・・,・・,・・,・・,・・,・・
3059,快速,20:30,20:32,20:35,20:38,20:41,↓,↓,↓,↓,20:51,↓,20:55,↓,↓,21:03,↓,↓,↓,↓,21:15
5329,普通,20:36,20:39,20:42,20:45,20:47,20:50,20:52,20:56,20:59,21:02,21:05,21:07,21:10,21:13,・・,・・,・・,・・,・・,・・
4061,区快,20:43,20:46,20:49,20:52,20:54,↓,↓,21:01,21:04,21:07,↓,21:11,21:14,↓,21:20,21:25,21:28,21:31,21:34,21:37
